Origin-Destination;Class;NumberOfFlights
FMO-MUC;Eco;113
MUC-FMO;Eco;52
ZRH-DUS;Eco;44
DUS-ZRH;Eco;42
WAW-DUS;Eco;42
DUS-BEG;Eco;38
FMO-FRA;Eco;38
DTM-MUC;Eco;35
DUS-TXL;Eco;29
MXP-DUS;Eco;26
DUS-MUC;Eco;26
DUS-VIE;Eco;23
VIE-DUS;Eco;23
FRA-TXL;Eco;22
MXP-TXL;Eco;22
CGN-TXL;Eco;22
DUS-HAM;Eco;21
TXL-DUS;Eco;20
TXL-FRA;Eco;19
WAW-IEV;Eco;19
DUS-BSL;Eco;18
DUS-MXP;Eco;18
DUS-WAW;Eco;18
DUS-PRG;Eco;18
MUC-TXL;Eco;18
DUS-LEJ;Eco;18
NUE-DUS;Eco;17
FRA-FMO;Eco;16
WAW-AMS;Eco;16
MUC-DUS;Eco;16
BUD-WAW;Eco;15
WAW-SZZ;Eco;15
TXL-MUC;Eco;14
BSL-TXL;Eco;14
BSL-DUS;Eco;14
BSL-AMS;Eco;13
MUC-DTM;Eco;13
HAM-MUC;Eco;13
PRG-DUS;Eco;13
MUC-VIE;Eco;11
CGN-MUC;Eco;11
FRA-HAM;Eco;11
BUD-FMO;Eco;11
NUE-FMO;Eco;10
HAM-STR;Eco;10
ZRH-FMO;Eco;10
FMO-VIE;Eco;10
WAW-PRG;Eco;10
WAW-HAJ;Eco;10
MUC-HAM;Eco;9
FRA-MXP;Eco;9
DUS-BUD;Eco;9
WAW-TXL;Eco;9
FMO-BSL;Eco;9
AMS-BSL;Eco;9
ZRH-TXL;Eco;9
BUD-TXL;Eco;9
FMO-STR;Eco;8
DUS-STR;Eco;8
BSL-FMO;Eco;8
FMO-MXP;Eco;8
FMO-ZRH;Eco;8
TXL-CGN;Eco;8
MUC-CGN;Eco;8
VIE-TXL;Eco;8
WAW-HAM;Eco;8
CGN-LEJ;Eco;7
DTM-VIE;Eco;7
PAD-MUC;Eco;7
BUD-DUS;Eco;7
TXL-ZRH;Eco;7
DUS-MAD;Eco;6
HAJ-VIE;Eco;6
HAM-FRA;Eco;6
FMO-NUE;Eco;6
WAW-MUC;Eco;6
BUD-FRA;Eco;6
NUE-FRA;Eco;6
WAW-BUD;Eco;6
TXL-STR;Eco;6
DUS-DRS;Eco;5
VIE-MUC;Eco;5
BSL-HAM;Eco;5
FRA-BRE;Eco;5
HAJ-MUC;Eco;5
MXP-MUC;Eco;5
BUD-MXP;Eco;5
DRS-DUS;Eco;5
CGN-HAM;Eco;5
TXL-FMO;Eco;5
PRG-WAW;Eco;5
MUC-MXP;Eco;5
STR-FMO;Eco;5
SZZ-WAW;Eco;5
DUS-NUE;Eco;5
FMO-TXL;Eco;4
ZRH-BRE;Eco;4
HAM-NUE;Eco;4
HAJ-BCN;Eco;4
HAM-BSL;Eco;4
MXP-HAM;Eco;4
MXP-LCG;Eco;4
BCN-HAJ;Eco;4
CPH-AAL;Eco;4
TXL-VIE;Eco;4
AMS-ZRH;Eco;4
TXL-BSL;Eco;4
MXP-BEG;Eco;4
MUC-FRA;Eco;4
STR-DUS;Eco;4
ZRH-CGN;Eco;4
ZRH-FRA;Eco;4
VIE-FMO;Eco;4
ZRH-AMS;Eco;4
FMO-SHA;Eco;4
FMO-BUD;Eco;3
ZRH-BEG;Eco;3
FRA-GRZ;Eco;3
FRA-ZRH;Eco;3
HAJ-WAW;Eco;3
KRK-DUS;Eco;3
FRA-SFO;Eco;3
HAM-MXP;Eco;3
HAM-WAW;Eco;3
MXP-FCO;Eco;3
MXP-STR;Eco;3
MUC-AMS;Eco;3
BRE-MUC;Eco;3
DUS-SZZ;Eco;3
DRS-CGN;Eco;3
CGN-ZRH;Eco;3
BUD-AMS;Eco;3
BRE-ZRH;Eco;3
TXL-AMS;Eco;3
AMS-MUC;Eco;3
BUD-PRG;Eco;3
NUE-ZRH;Eco;3
LEJ-DUS;Eco;3
MXP-FRA;Eco;3
VIE-MXP;Eco;3
VRN-MUC;Eco;3
ZRH-HAM;Eco;3
ZRH-WAW;Eco;3
VIE-WAW;Eco;3
WAW-ZRH;Eco;3
WRO-AMS;Eco;3
FMO-LYS;Eco;3
DRS-FRA;Eco;2
WAW-MXP;Eco;2
FRA-HKG;Eco;2
FRA-NUE;Eco;2
FRA-VIE;Eco;2
FRA-WAW;Eco;2
HAM-IEV;Eco;2
HAM-PRG;Eco;2
HAM-VIE;Eco;2
HKG-MNL;Eco;2
HAM-BRU;Eco;2
HAM-DUS;Eco;2
KTW-DUS;Eco;2
LCG-MXP;Eco;2
MXP-BRU;Eco;2
MUC-BRE;Eco;2
TXL-BRU;Eco;2
BRU-MXP;Eco;2
BRE-MXP;Eco;2
TXL-WAW;Eco;2
TXL-NUE;Eco;2
TXL-MXP;Eco;2
TXL-HEL;Eco;2
BCN-CGN;Eco;2
AMS-LPL;Eco;2
CGN-BCN;Eco;2
BUD-SZZ;Eco;2
BRU-ZRH;Eco;2
BRU-BSL;Eco;2
BRU-TXL;Eco;2
TXL-CPH;Eco;2
LYS-FRA;Eco;2
MAD-DUS;Eco;2
MXP-BRE;Eco;2
MXP-WAW;Eco;2
NUE-BSL;Eco;2
VIE-DTM;Eco;2
WAW-VIE;Eco;2
VIE-FRA;Eco;2
VIE-HAJ;Eco;2
WAW-OTP;Eco;2
WAW-FRA;Eco;2
DTM-CPT;Eco;2
BSL-MAN;Eco;1
BSL-MUC;Eco;1
BSL-NUE;Eco;1
FMO-DEL;Eco;1
BUD-MUC;Eco;1
OTP-HAM;Eco;1
CGN-MXP;Eco;1
CGN-RLG;Eco;1
DTM-OTP;Eco;1
DTM-GDN;Eco;1
DUS-FCO;Eco;1
DUS-SFO;Eco;1
DUS-WRO;Eco;1
FMO-BCN;Eco;1
FMO-BEG;Eco;1
FMO-GVA;Eco;1
FMO-VRN;Eco;1
FMO-WAW;Eco;1
FRA-CPT;Eco;1
FRA-DRS;Eco;1
FRA-KRK;Eco;1
GDN-BUD;Eco;1
HAM-BEG;Eco;1
HAM-MAD;Eco;1
HAM-MHG;Eco;1
HAM-MIA;Eco;1
HAM-ZRH;Eco;1
HKG-TPE;Eco;1
IEV-TXL;Eco;1
KRK-HAM;Eco;1
KTW-DTM;Eco;1
LCG-MAD;Eco;1
LCG-MUC;Eco;1
LEJ-MUC;Eco;1
FMO-SFO;Eco;1
FRA-AMS;Eco;1
FRA-BCN;Eco;1
FRA-BUD;Eco;1
FRA-MUC;Eco;1
FRA-PRG;Eco;1
FRA-SHA;Eco;1
GDN-MUC;Eco;1
GVA-TUN;Eco;1
HAJ-BEG;Eco;1
HAM-AMS;Eco;1
HAM-CGN;Eco;1
IEV-HAM;Eco;1
KRK-BUD;Eco;1
KTW-BUD;Eco;1
LEJ-CGN;Eco;1
LHR-TXL;Eco;1
MAN-BSL;Eco;1
MIA-CLT;Eco;1
MXP-CDG;Eco;1
MXP-TUN;Eco;1
MNL-SIN;Eco;1
MUC-HAJ;Eco;1
MUC-LEJ;Eco;1
NUE-TXL;Eco;1
CDG-HAM;Eco;1
PMI-HAJ;Eco;1
PRG-BUD;Eco;1
SFO-FRA;Eco;1
SHA-MNL;Eco;1
SHA-KIX;Eco;1
SIN-SHA;Eco;1
ARN-MXP;Eco;1
STR-HAM;Eco;1
TUN-MXP;Eco;1
LHR-DTM;Eco;1
MHG-TXL;Eco;1
MXP-BRI;Eco;1
MUC-BRU;Eco;1
MUC-LCG;Eco;1
NUE-HAM;Eco;1
AMM-ZRH;Eco;1
AMS-TXL;Eco;1
AMS-FRA;Eco;1
BCN-TXL;Eco;1
TXL-IEV;Eco;1
TXL-LHR;Eco;1
TXL-MAD;Eco;1
BEY-AMM;Eco;1
BOS-MXP;Eco;1
BRU-FRA;Eco;1
