origin,destination,class,CO2 in grams
FMO,MUC,economy,8011926
MUC,FMO,economy,3686904
ZRH,DUS,economy,2890800
DUS,ZRH,economy,2759400
WAW,DUS,economy,4261530
DUS,BEG,economy,4417842
FMO,FRA,economy,1761832
DTM,MUC,economy,2346995
DUS,TXL,economy,1960632
MXP,DUS,economy,2090322
DUS,MUC,economy,1792128
DUS,VIE,economy,2062801
VIE,DUS,economy,2062801
FRA,TXL,economy,1422168
MXP,TXL,economy,2041666
CGN,TXL,economy,1478730
DUS,HAM,economy,1188222
TXL,DUS,economy,1352160
TXL,FRA,economy,1228236
WAW,IEV,economy,1580724
DUS,BSL,economy,1138230
DUS,MXP,economy,1447146
DUS,WAW,economy,1826370
DUS,PRG,economy,1318752
MUC,TXL,economy,1232370
DUS,LEJ,economy,1084086
NUE,DUS,economy,1001096
FRA,FMO,economy,741824
WAW,AMS,economy,1736624
MUC,DUS,economy,1102848
BUD,WAW,economy,1095675
WAW,SZZ,economy,975780
TXL,MUC,economy,958510
BSL,TXL,economy,1165654
BSL,DUS,economy,885290
BSL,AMS,economy,968396
MUC,DTM,economy,871741
HAM,MUC,economy,1005095
PRG,DUS,economy,952432
MUC,VIE,economy,638770
CGN,MUC,economy,714681
FRA,HAM,economy,692813
BUD,FMO,economy,1115455
NUE,FMO,economy,600500
HAM,STR,economy,738440
ZRH,FMO,economy,717220
FMO,VIE,economy,888050
WAW,PRG,economy,715730
WAW,HAJ,economy,883610
MUC,HAM,economy,695835
FRA,MXP,economy,623115
DUS,BUD,economy,923346
WAW,TXL,economy,646164
FMO,BSL,economy,634059
AMS,BSL,economy,670428
ZRH,TXL,economy,732033
BUD,TXL,economy,763479
FMO,STR,economy,495032
DUS,STR,economy,451152
BSL,FMO,economy,563608
FMO,MXP,economy,686424
FMO,ZRH,economy,573776
TXL,CGN,economy,537720
MUC,CGN,economy,519768
VIE,TXL,economy,587856
WAW,HAM,economy,699768
CGN,LEJ,economy,409682
DTM,VIE,economy,608720
PAD,MUC,economy,450205
BUD,DUS,economy,718158
TXL,ZRH,economy,569359
DUS,MAD,economy,769272
HAJ,VIE,economy,499176
HAM,FRA,economy,377898
FMO,NUE,economy,360300
WAW,MUC,economy,533964
BUD,FRA,economy,555708
NUE,FRA,economy,239112
WAW,BUD,economy,438270
TXL,STR,economy,427656
DUS,DRS,economy,345410
VIE,MUC,economy,290350
BSL,HAM,economy,417950
FRA,BRE,economy,281020
HAJ,MUC,economy,342710
MXP,MUC,economy,302015
BUD,MXP,economy,461230
DRS,DUS,economy,345410
CGN,HAM,economy,293990
TXL,FMO,economy,302895
PRG,WAW,economy,357865
MUC,MXP,economy,302015
STR,FMO,economy,309395
SZZ,WAW,economy,325260
DUS,NUE,economy,294440
FMO,TXL,economy,242316
ZRH,BRE,economy,315060
HAM,NUE,economy,269492
HAJ,BCN,economy,495872
HAM,BSL,economy,334360
MXP,HAM,economy,384932
MXP,LCG,economy,498396
BCN,HAJ,economy,495872
CPH,AAL,economy,183584
TXL,VIE,economy,293928
AMS,ZRH,economy,309816
TXL,BSL,economy,333044
MXP,BEG,economy,389056
MUC,FRA,economy,210260
STR,DUS,economy,225576
ZRH,CGN,economy,245104
ZRH,FRA,economy,204884
VIE,FMO,economy,355220
ZRH,AMS,economy,309816
FMO,SHA,economy,2292132
FMO,BUD,economy,304215
ZRH,BEG,economy,299016
FRA,GRZ,economy,233610
FRA,ZRH,economy,153663
HAJ,WAW,economy,265083
KRK,DUS,economy,294510
FRA,SFO,economy,1823520
HAM,MXP,economy,288699
HAM,WAW,economy,262413
MXP,FCO,economy,212481
MXP,STR,economy,170592
MUC,AMS,economy,245013
BRE,MUC,economy,223905
DUS,SZZ,economy,233403
DRS,CGN,economy,201882
CGN,ZRH,economy,183828
BUD,AMS,economy,337494
BRE,ZRH,economy,236295
TXL,AMS,economy,227319
AMS,MUC,economy,245013
BUD,PRG,economy,203529
NUE,ZRH,economy,155847
LEJ,DUS,economy,180681
MXP,FRA,economy,207705
VIE,MXP,economy,243408
VRN,MUC,economy,168612
ZRH,HAM,economy,250770
ZRH,WAW,economy,313287
VIE,WAW,economy,220881
WAW,ZRH,economy,313287
WRO,AMS,economy,279705
FMO,LYS,economy,259341
DRS,FRA,economy,121682
WAW,MXP,economy,222790
FRA,HKG,economy,1216536
FRA,NUE,economy,79704
FRA,VIE,economy,157392
FRA,WAW,economy,192710
HAM,IEV,economy,256194
HAM,PRG,economy,138470
HAM,VIE,economy,176722
HKG,MNL,economy,222324
HAM,BRU,economy,137240
HAM,DUS,economy,113164
KTW,DUS,economy,189174
LCG,MXP,economy,249198
MXP,BRU,economy,163342
MUC,BRE,economy,149270
TXL,BRU,economy,159168
BRU,MXP,economy,163342
BRE,MXP,economy,183872
TXL,WAW,economy,143592
TXL,NUE,economy,119390
TXL,MXP,economy,185606
TXL,HEL,economy,219180
BCN,CGN,economy,220812
AMS,LPL,economy,143592
CGN,BCN,economy,220812
BUD,SZZ,economy,174558
BRU,ZRH,economy,137394
BRU,BSL,economy,128960
BRU,TXL,economy,159168
TXL,CPH,economy,113728
LYS,FRA,economy,146674
MAD,DUS,economy,256424
MXP,BRE,economy,183872
MXP,WAW,economy,222790
NUE,BSL,economy,112598
VIE,DTM,economy,173920
WAW,VIE,economy,147254
VIE,FRA,economy,157392
VIE,HAJ,economy,166392
WAW,OTP,economy,196220
WAW,FRA,economy,192710
DTM,CPT,economy,1287860
BSL,MAN,economy,99193
BSL,MUC,economy,55439
BSL,NUE,economy,56299
FMO,DEL,economy,377142
BUD,MUC,economy,74921
OTP,HAM,economy,112368
CGN,MXP,economy,76827
CGN,RLG,economy,69005
DTM,OTP,economy,114562
DTM,GDN,economy,89939
DUS,FCO,economy,110464
DUS,SFO,economy,591880
DUS,WRO,economy,84310
FMO,BCN,economy,118796
FMO,BEG,economy,116201
FMO,GVA,economy,81738
FMO,VRN,economy,89499
FMO,WAW,economy,96901
FRA,CPT,economy,628842
FRA,DRS,economy,60841
FRA,KRK,economy,90440
GDN,BUD,economy,88805
HAM,BEG,economy,116086
HAM,MAD,economy,130016
HAM,MHG,economy,67999
HAM,MIA,economy,493224
HAM,ZRH,economy,83590
HKG,TPE,economy,90815
IEV,TXL,economy,114873
KRK,HAM,economy,89120
KTW,DTM,economy,91065
LCG,MAD,economy,70602
LCG,MUC,economy,120677
LEJ,MUC,economy,56864
FMO,SFO,economy,588930
FRA,AMS,economy,59069
FRA,BCN,economy,108130
FRA,BUD,economy,92618
FRA,MUC,economy,52565
FRA,PRG,economy,62476
FRA,SHA,economy,580539
GDN,MUC,economy,91314
GVA,TUN,economy,108364
HAJ,BEG,economy,111511
HAM,AMS,economy,60227
HAM,CGN,economy,58798
IEV,HAM,economy,128097
KRK,BUD,economy,52361
KTW,BUD,economy,56488
LEJ,CGN,economy,58526
LHR,TXL,economy,99433
MAN,BSL,economy,99193
MIA,CLT,economy,105490
MXP,CDG,economy,77176
MXP,TUN,economy,101643
MNL,SIN,economy,178928
MUC,HAJ,economy,68542
MUC,LEJ,economy,56864
NUE,TXL,economy,59695
CDG,HAM,economy,85867
PMI,HAJ,economy,111805
PRG,BUD,economy,67843
SFO,FRA,economy,607840
SHA,MNL,economy,135814
SHA,KIX,economy,122763
SIN,SHA,economy,227415
ARN,MXP,economy,122137
STR,HAM,economy,73844
TUN,MXP,economy,101643
LHR,DTM,economy,74348
MHG,TXL,economy,68388
MXP,BRI,economy,91563
MUC,BRU,economy,77107
MUC,LCG,economy,120677
NUE,HAM,economy,67373
AMM,ZRH,economy,179391
AMS,TXL,economy,75773
AMS,FRA,economy,59069
BCN,TXL,economy,110403
TXL,IEV,economy,114873
TXL,LHR,economy,99433
TXL,MAD,economy,135582
BEY,AMM,economy,45896
BOS,MXP,economy,373551
BRU,FRA,economy,53174
BUD,BRU,economy,110755
BUD,GDN,economy,88805
BUD,HAJ,economy,95564
OTP,DUS,economy,117781
OTP,WAW,economy,98110
CGN,DRS,economy,67294
BCN,MUC,economy,108188
BCN,PMI,economy,41444
BEG,MUC,economy,87917
TXL,BCN,economy,110403
TXL,BUD,economy,84831
TXL,FKB,economy,74276
TXL,INN,economy,77662
BRE,FRA,economy,56204
BRE,IST,economy,146027
BUD,BRE,economy,100809
BUD,OTP,economy,78353
BUD,HAM,economy,99612
CLT,MUC,economy,462935
DTM,BUD,economy,99912
DTM,SZY,economy,98170
DUS,ADA,economy,171231
DUS,CDG,economy,61362
BSL,BEY,economy,173196
BSL,BRE,economy,78215
NUE,VIE,economy,64562
KIX,SHA,economy,122763
CDG,BSL,economy,62050
PMI,DUS,economy,122475
PRG,HAM,economy,69235
PRG,ZRH,economy,70827
SGN,SIN,economy,108071
STR,TXL,economy,71276
VIE,CGN,economy,87024
WAW,WRO,economy,53274
WRO,DUS,economy,84310
ZRH,HAJ,economy,74563
ZRH,HKG,economy,619076
ZRH,MAN,economy,103009
ZRH,MUC,economy,48524
VIE,PRG,economy,50375
VRN,FMO,economy,89499
WAW,FMO,economy,96901
ZRH,BRU,economy,68697
ZRH,HUY,economy,98049
ZRH,NUE,economy,51949
ZRH,PRG,economy,70827
ZRH,SGN,economy,657763
ZRH,SHA,economy,595091
ZRH,HND,economy,645860
