user_city;user_zip;offer_location;offer_region;bookings
bocholt;46399;humboldt - gremberg;cologne;3
münster;48161;sankt peter-ording;nordfriesland;3
schülldorf;24790;gifhorn;gifhorn;3
bad oldesloe;23843;brandshagen;nordvorpommern;2
bad saarow;15526;priwall peninsula;lübeck;2
berlin;12683;niendorf/ostsee;ostholstein;2
berlin;14197;dümmer;ludwigslust-parchim;2
bielefeld;33649;hohen schönberg;nordwestmecklenburg;2
bockenem;31167;norddeich;aurich;2
brekendorf;24811;zierow;nordwestmecklenburg;2
delmenhorst;27755;dagebüll;nordfriesland;2
frankfurt;60528;sachsenhausen;darmstadt;2
garbsen;30826;boltenhagen;nordwestmecklenburg;2
gütersloh;33332;humboldt - gremberg;cologne;2
hamburg;21037;priwall peninsula;lübeck;2
hannover;30457;sankt andreasberg;goslar;2
herborn;35745;regenhütte;lower bavaria;2
kamen;59174;wremen;cuxhaven;2
kriftel;65830;großenbrode;ostholstein;2
königstein;61462;faulbach;kassel;2
langenhagen;30855;großenbrode;ostholstein;2
leipzig;4229;zingst;nordvorpommern;2
leonberg;71229;wiarden;friesland;2
lingen;49811;tossens;wesermarsch;2
lüchow;29439;priwall peninsula;lübeck;2
meinerzhagen;58540;roggentin;mecklenburgische seenplatte;2
münchen;80469;inzell;upper bavaria;2
parchim;19370;zingst;nordvorpommern;2
peine;31224;obermaiselstein;swabia;2
philippsburg;76661;poseritz;rügen;2
philippsburg;76661;waase;rügen;2
reken;48734;sankt peter-ording;nordfriesland;2
ribnitz-damgarten;18311;grömitz;ostholstein;2
stolberg (rhld.);52222;norddeich;aurich;2
südharz;6536;zingst;nordvorpommern;2
walsrode;29664;grömitz;ostholstein;2
werne;59368;alt travemünde - rönnau;lübeck;2
wiendorf;18258;norddeich;aurich;2
wittenberg;6888;krems ii;segeberg;2
wittingen;29378;dagebüll;nordfriesland;2
wolfsburg;38446;haffkrug;ostholstein;2
35428 langgöns;35428;merzig;merzig-wadern;1
48599 gronau;48599;ivenack;demmin;1
48703 stadtlohn;48703;norddeich;aurich;1
52525;heinsberg;sondernheim;germersheim;1
58239 schwerte;58239;bannemin;ostvorpommern;1
^niederkrüchten;41372;schönwalde;uecker-randow;1
aachen;52062;ferienhausgebiet hillenseifen;vulkaneifel;1
aachen;52078;norden;aurich;1
aachen;52078;speyer;speyer;1
aalen;73434;deggenhausertal;tübingen;1
aasbüttel;25560;stinteck;dithmarschen;1
abstatt;74232;dagebüll;nordfriesland;1
achim;28832;boltenhagen;nordwestmecklenburg;1
admannshagen;18211;glowe;rügen;1
aerzen;31855;dornumersiel;aurich;1
ahlerstedt;21702;großenbrode;ostholstein;1
ahrensburg;22926;wenningstedt-braderup;nordfriesland;1
ahrensbök;23623;dagebüll;nordfriesland;1
ahrensfelde;16356;seebad heringsdorf;ostvorpommern;1
aichach;86551;dörgenhausen;dresden government region;1
alfeld;91236;sande;friesland;1
alfter;53347;brombach;freiburg;1
algermissen;31191;schönberger strand;plön;1
algermissen;31191;timmendorfer strand;ostholstein;1
algermissen;31191;wasserkoog;nordfriesland;1
alheim;36211;arle;aurich;1
alken;56332;grafenried;lower bavaria;1
alpen;46519;norddeich;aurich;1
alsbach-hähnlein;64665;roßbach;lower bavaria;1
alsdorf;52477;buch;rhein-hunsrück-kreis;1
alsfeld;36304;wackerballig;schleswig-flensburg;1
alt duvenstedt;24791;dieksanderkoog;dithmarschen;1
alt ruppin;16827;bansin;ostvorpommern;1
altdorf;67482;badenweiler;freiburg;1
altena;58762;fedderwardersiel;wesermarsch;1
altenerding;85435;bad feilnbach;upper bavaria;1
altfriesack;16818;süd;freiburg;1
altlandsberg;15345;hohendorf;nordvorpommern;1
altrip;67122;brigach;freiburg;1
ammersbek;22949;schönhagen;rendsburg-eckernförde;1
ammersbek;22949;wendtorfer strand;plön;1
amsterdam;1056 vb;berliner innenstadt;berliner innenstadt;1
amt wachsenburg, ot sülzenbrücken;99334;dörfles b.coburg;upper franconia;1
amtzell;88279;losheim am see;merzig-wadern;1
amöneburg roßdorf;35287;pelzerhaken;ostholstein;1
anderlingen;27446;kappeln;schleswig-flensburg;1
andernach;56626;schönhagen;rendsburg-eckernförde;1
andervenne;49832;kappeln;schleswig-flensburg;1
angermünde;16278;seebad heringsdorf;ostvorpommern;1
anzing;85646;duhnen;cuxhaven;1
apelern;31552;wernigerode;harz;1
appen;25482;winnemark;rendsburg-eckernförde;1
arnstadt;99310;treptow-köpenick;treptow-köpenick;1
aschendorf;26871;bensersiel;wittmund;1
aschersleben;6449;krakow am see;rostock;1
auerbach;8209;altmummen;swabia;1
auerbach;8209;peenemünde;ostvorpommern;1
auerbach;91275;kamminke;ostvorpommern;1
auerbach/vogtland;8209;mitte;mitte;1
augsburg;86150;jordanshöhe;goslar;1
augsburg;86153;burg;spree-neiße;1
augsburg;86159;großdunsum;nordfriesland;1
augsburg;86159;tannenberg;upper bavaria;1
augsburg;86165;hoisdorf;stormarn;1
augsburg;86167;glowe;rügen;1
augsburg;86169;altstadt;erfurt;1
augustdorf;32832;finsterbergen;gotha;1
aulendorf;88326;heringsdorf;ostvorpommern;1
bad schlema;8301;spremberg;spree-neiße;1
bad belzig;14806;großenbrode;ostholstein;1
bad bentheim;48455;lippertsreute;tübingen;1
bad bentheim;48455;thale;harz;1
bad berka;99438;ahrenshoop;nordvorpommern;1
bad berleburg;57319;börgerende;rostock;1
bad bevensen;29549;priwall peninsula;lübeck;1
bad bramstedt;24576;goting;nordfriesland;1
bad breisig;53498;seebad heringsdorf;ostvorpommern;1
bad camberg;65520;friedrichskoog-spitze;dithmarschen;1
bad essen;49152;sandbrink;diepholz;1
bad freienwalde;16259;strasen;mecklenburgische seenplatte;1
bad freienwalde;16259;wenningstedt-braderup;nordfriesland;1
bad harzburg;38667;quetzin;ludwigslust-parchim;1
bad hersfeld;36251;priwall peninsula;lübeck;1
bad honnef;53604;borgsum;nordfriesland;1
bad kissingen;97688;wiek;rügen;1
bad klosterlausnitz;7639;kachlin;ostvorpommern;1
bad kreuznach;55543;donaueschingen;freiburg;1
bad kreuznach;55543;lehengericht;freiburg;1
bad lauchstädt;6246;bad schmiedeberg;wittenberg;1
bad lausick;4651;görlitz;dresden government region;1
bad liebenstein;36448;seebad heringsdorf;ostvorpommern;1
bad liebenstein;36448;sellin;rügen;1
bad liebenstein;36448;titmaringhausen;arnsberg;1
bad liebenwerda;4924;kappeln;schleswig-flensburg;1
bad liebenzell;75378;neßmersiel;aurich;1
bad liebenzell;75378;plön;plön;1
bad lippspringe;33175;friedrichskoog;dithmarschen;1
bad lippspringe;33175;priwall peninsula;lübeck;1
bad muskau;2953;lenz-süd;mecklenburgische seenplatte;1
bad münder;31848;grömitz;ostholstein;1
bad münder;31848;kappeln;schleswig-flensburg;1
bad münder;31848;priwall peninsula;lübeck;1
bad münstereifel;53902;glowe;rügen;1
bad nauheim;61200;sankt peter-ording;nordfriesland;1
bad nauheim;61231;parow;nordvorpommern;1
bad oeynhausen;32547;kappeln;schleswig-flensburg;1
bad oeynhausen;32549;wyk auf föhr;nordfriesland;1
bad oldesloe;23843;gosdorf;ostholstein;1
bad oldesloe;23843;priwall peninsula;lübeck;1
bad oldesloe;23843;sobrigau;dresden government region;1
bad orb;63619;rudow;neukölln;1
bad reichenhall;83435;frauendorf;upper franconia;1
bad rothenfelde;49084;timmendorfer strand;ostholstein;1
bad rothenfelde;49214;priwall peninsula;lübeck;1
bad salzdetfurth;31162;wilsche;gifhorn;1
bad salzuflen;32105;olpenitzdorf;schleswig-flensburg;1
bad salzuflen;32107;achtrup;nordfriesland;1
bad salzuflen;32107;boltenhagen;nordwestmecklenburg;1
bad salzuflen;32107;kühlungsborn-west;rostock;1
bad salzuflen;32107;schwarzbach;upper bavaria;1
bad salzuflen;32108;priwall peninsula;lübeck;1
bad segeberg;23795;sellin;rügen;1
bad staffelstein;96231;wiek;rügen;1
bad tölz;82646;zandt;upper palatinate;1
bad urach;72574;altefähr;rügen;1
bad vilbel;61118;hörnum;nordfriesland;1
bad waldsee;88339;list;nordfriesland;1
bad wildbad;75323;rutenberg;uckermark;1
bad zwesten;34596;sandbrink;diepholz;1
baddeckenstedt;38271;sellin;rügen;1
baiersbronn;72270;baiersbronn;karlsruhe;1
ballenstedt;6493;prora;rügen;1
bamberg;96052;mühlwinkl;upper bavaria;1
banzkow;19079;boltenhagen;nordwestmecklenburg;1
barleben;39179;gleichamberg;hildburghausen;1
barmstedt;25355;niendorf/ostsee;ostholstein;1
barnstorf;49406;karschau;schleswig-flensburg;1
bartholomä;73566;zingst;nordvorpommern;1
barßel;26676;schonnebeck;düsseldorf;1
bautzen;2625;lemkenhafen;ostholstein;1
bayreuth;95444;luitpolderhöfe;upper bavaria;1
bayreuth;95448;schönhagen;rendsburg-eckernförde;1
bechhofen;91572;nienhagen;rostock;1
beckingen;66701;haustadt;merzig-wadern;1
beckum;59269;rerik;rostock;1
