origin,destination,number of trips,CO2 in grams
"bocholt,46399","humboldt - gremberg,cologne",3,84399
"münster,48161","sankt peter-ording,nordfriesland",3,217113
"schülldorf,24790","gifhorn,gifhorn",3,167892
"bad oldesloe,23843","brandshagen,nordvorpommern",2,100684
"bad saarow,15526","priwall peninsula,lübeck",2,150594
"berlin,12683","niendorf/ostsee,ostholstein",2,131394
"berlin,14197","dümmer,ludwigslust-parchim",2,99264
"bielefeld,33649","hohen schönberg,nordwestmecklenburg",2,151270
"bockenem,31167","norddeich,aurich",2,143278
"brekendorf,24811","zierow,nordwestmecklenburg",2,67414
"delmenhorst,27755","dagebüll,nordfriesland",2,101078
"frankfurt,60528","sachsenhausen,darmstadt",2,2486
"garbsen,30826","boltenhagen,nordwestmecklenburg",2,108106
"gütersloh,33332","humboldt - gremberg,cologne",2,77270
"hamburg,21037","priwall peninsula,lübeck",2,39108
"hannover,30457","sankt andreasberg,goslar",2,47606
"herborn,35745","regenhütte,lower bavaria",2,210764
"kamen,59174","wremen,cuxhaven",2,125892
"kriftel,65830","großenbrode,ostholstein",2,271522
"königstein,61462","faulbach,kassel",2,80048
"langenhagen,30855","großenbrode,ostholstein",2,121994
"leipzig,4229","zingst,nordvorpommern",2,185370
"leonberg,71229","wiarden,friesland",2,291764
"lingen,49811","tossens,wesermarsch",2,69014
"lüchow,29439","priwall peninsula,lübeck",2,59014
"meinerzhagen,58540","roggentin,mecklenburgische seenplatte",2,229788
"münchen,80469","inzell,upper bavaria",2,51478
"parchim,19370","zingst,nordvorpommern",2,66248
"peine,31224","obermaiselstein,swabia",2,290150
"philippsburg,76661","poseritz,rügen",2,349534
"philippsburg,76661","waase,rügen",2,356130
"reken,48734","sankt peter-ording,nordfriesland",2,157740
"ribnitz-damgarten,18311","grömitz,ostholstein",2,50564
"stolberg (rhld.),52222","norddeich,aurich",2,171896
"südharz,6536","zingst,nordvorpommern",2,185848
"walsrode,29664","grömitz,ostholstein",2,90518
"werne,59368","alt travemünde - rönnau,lübeck",2,180316
"wiendorf,18258","norddeich,aurich",2,176298
"wittenberg,6888","krems ii,segeberg",2,151152
"wittingen,29378","dagebüll,nordfriesland",2,141546
"wolfsburg,38446","haffkrug,ostholstein",2,98956
"35428 langgöns,35428","merzig,merzig-wadern",1,47988
"48599 gronau,48599","ivenack,demmin",1,115476
"48703 stadtlohn,48703","norddeich,aurich",1,48246
"52525,heinsberg","sondernheim,germersheim",1,69938
"58239 schwerte,58239","bannemin,ostvorpommern",1,137453
"^niederkrüchten,41372","schönwalde,uecker-randow",1,156464
"aachen,52062","ferienhausgebiet hillenseifen,vulkaneifel",1,19339
"aachen,52078","norden,aurich",1,86663
"aachen,52078","speyer,speyer",1,60833
"aalen,73434","deggenhausertal,tübingen",1,34646
"aasbüttel,25560","stinteck,dithmarschen",1,10779
"abstatt,74232","dagebüll,nordfriesland",1,168444
"achim,28832","boltenhagen,nordwestmecklenburg",1,47333
"admannshagen,18211","glowe,rügen",1,28628
"aerzen,31855","dornumersiel,aurich",1,57860
