id;weight_in_kg;number_packages;origin;destination
115531;1,04;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;328 Support Services GmbH 401999 197  Claude-Dornier-Strasse    DE - 82234 Wessling
112955;1,64;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;328 Support Services GmbH 401999 197  Claude-Dornier-Strasse    DE - 82234 Wessling
109818;2,9;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;AEGEAN S.A. STORE (MAIN) 504118 668  Building 18/Ground Hall 1/7.01    GR - 190 19 SPATA, ATHENS
115656;1,74;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Aegean S.A. Store (Main) 504118 668  Building 57    GR - 190 19 Spata, Athens
118069;384;2;Pfänderstrasse  50-52  DE - 88161 Lindenberg;AEQUS AEROSPACE CHOLET SAS SUP782069 91  Z.I. DE L APPENTIERE, BP 60632    FR - 49306 CHOLET
118058;301;6;Pfänderstrasse  50-52  DE - 88161 Lindenberg;AEQUS AEROSPACE CHOLET SAS SUP782069 91  Z.I. DE L APPENTIERE, BP 60632    FR - 49306 CHOLET
111044;89;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;AEQUS AEROSPACE CHOLET SAS SUP782069 91  Z.I. DE L APPENTIERE, BP 60632    FR - 49306 CHOLET
111035;137;6;Pfänderstrasse  50-52  DE - 88161 Lindenberg;AEQUS AEROSPACE CHOLET SAS SUP782069 91  Z.I. DE L APPENTIERE, BP 60632    FR - 49306 CHOLET
107213;150;2;Pfänderstrasse  50-52  DE - 88161 Lindenberg;AEQUS AEROSPACE CHOLET SAS SUP782069 91  Z.I. DE L APPENTIERE, BP 60632    FR - 49306 CHOLET
107208;150;2;Pfänderstrasse  50-52  DE - 88161 Lindenberg;AEQUS AEROSPACE CHOLET SAS SUP782069 91  Z.I. DE L APPENTIERE, BP 60632    FR - 49306 CHOLET
118278;0,52;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;AER LINGUS LTD 505036 661  MAINTENANCE HANGAR 6    IE - K67 W9P2 IRELAND
111522;8,22;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;AER LINGUS LTD 505054 661  MAINTENANCE HANGAR 6    IE - K67 W9P2 IRELAND
108374;8,1;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;AER LINGUS LTD 505054 661  MAINTENANCE HANGAR 6    IE - K67 W9P2 IRELAND
107825;8;2;Pfänderstrasse  50-52  DE - 88161 Lindenberg;AER LINGUS LTD 505054 661  MAINTENANCE HANGAR 6    IE - K67 W9P2 IRELAND
107297;8,29;2;Pfänderstrasse  50-52  DE - 88161 Lindenberg;AER LINGUS LTD 505054 661  MAINTENANCE HANGAR 6    IE - K67 W9P2 IRELAND
118256;7,93;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;AerFin Ltd. 504220 661  Newton Road - RH109TS Crawley West Sussex
117563;8,82;2;Pfänderstrasse  50-52  DE - 88161 Lindenberg;AerFin Ltd. 504220 661  Newton Road - RH109TS Crawley West Sussex
115432;32,2;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;AerFin Ltd. 504220 661  Newton Road - RH109TS Crawley West Sussex
113811;2,08;4;Pfänderstrasse  50-52  DE - 88161 Lindenberg;AerFin Ltd. 504220 661  Newton Road - RH109TS Crawley West Sussex
109906;1,84;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;AerFin Ltd. 504220 661  Newton Road - RH109TS Crawley West Sussex
117429;0,54;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;AERO-COATING GMBH SUP679421 669  GEWERBEGEBIET REDENTIN    DE - 23970 WISMAR
116259;8,84;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Aerospares 2000 Ltd. 504163 661  3 Caxton Way - WD18 8UA Watford,Herts
109230;8,86;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Aerospares 2000 Ltd. 504163 661  3 Caxton Way - WD18 8UA Watford,Herts
118220;5,24;3;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Air Baltic Corporation A/S 504222 658  3 Tehnikas street,    LV - 1053 Latvia Riga Internat.
118211;5,35;2;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Air Baltic Corporation A/S 504222 658  3 Tehnikas street,    LV - 1053 Latvia Riga Internat.
114736;10,07;2;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Air Baltic Corporation A/S 504222 658  3 Tehnikas street,    LV - 1053 Latvia Riga Internat.
112214;1,51;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Air Baltic Corporation A/S 504222 658  3 Tehnikas street,    LV - 1053 Latvia Riga Internat.
110816;0,33;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Air Baltic Corporation A/S 504222 658  3 Tehnikas street,    LV - 1053 Latvia Riga Internat.
112212;5,7;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Air Baltic Corporation A/S 504222 668  3 Tehnikas street,    LV - 1053 Latvia Riga Internat.
118228;1,65;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
117421;0,59;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
115649;2,91;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
114744;0,52;3;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
113690;0,89;3;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
112013;0,34;3;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
111381;0,37;4;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
110814;0,27;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
110691;0,34;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
109120;0,27;2;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
108292;0,9;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
108284;0,51;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
107744;0,64;4;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
