id,weight_in_tonnes,number_of_packages,origin,destination,CO2_in_grams
115531,0.001,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"328 Support Services GmbH 401999 197  Claude-Dornier-Strasse    DE - 82234 Wessling
",9
112955,0.001,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"328 Support Services GmbH 401999 197  Claude-Dornier-Strasse    DE - 82234 Wessling
",9
109818,0.002,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AEGEAN S.A. STORE (MAIN) 504118 668  Building 18/Ground Hall 1/7.01    GR - 190 19 SPATA, ATHENS
",247
115656,0.001,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Aegean S.A. Store (Main) 504118 668  Building 57    GR - 190 19 Spata, Athens
",123
118069,0.384,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AEQUS AEROSPACE CHOLET SAS SUP782069 91  Z.I. DE L APPENTIERE, BP 60632    FR - 49306 CHOLET
",49124
118058,0.301,6,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AEQUS AEROSPACE CHOLET SAS SUP782069 91  Z.I. DE L APPENTIERE, BP 60632    FR - 49306 CHOLET
",115518
111044,0.089,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AEQUS AEROSPACE CHOLET SAS SUP782069 91  Z.I. DE L APPENTIERE, BP 60632    FR - 49306 CHOLET
",5693
111035,0.137,6,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AEQUS AEROSPACE CHOLET SAS SUP782069 91  Z.I. DE L APPENTIERE, BP 60632    FR - 49306 CHOLET
",52578
107213,0.15,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AEQUS AEROSPACE CHOLET SAS SUP782069 91  Z.I. DE L APPENTIERE, BP 60632    FR - 49306 CHOLET
",19190
107208,0.15,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AEQUS AEROSPACE CHOLET SAS SUP782069 91  Z.I. DE L APPENTIERE, BP 60632    FR - 49306 CHOLET
",19190
118278,0.0,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AER LINGUS LTD 505036 661  MAINTENANCE HANGAR 6    IE - K67 W9P2 IRELAND
",0
111522,0.008,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AER LINGUS LTD 505054 661  MAINTENANCE HANGAR 6    IE - K67 W9P2 IRELAND
",823
108374,0.008,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AER LINGUS LTD 505054 661  MAINTENANCE HANGAR 6    IE - K67 W9P2 IRELAND
",823
107825,0.008,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AER LINGUS LTD 505054 661  MAINTENANCE HANGAR 6    IE - K67 W9P2 IRELAND
",1646
107297,0.008,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AER LINGUS LTD 505054 661  MAINTENANCE HANGAR 6    IE - K67 W9P2 IRELAND
",1646
118256,0.007,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AerFin Ltd. 504220 661  Newton Road - RH109TS Crawley West Sussex
",456
117563,0.008,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AerFin Ltd. 504220 661  Newton Road - RH109TS Crawley West Sussex
",1042
115432,0.032,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AerFin Ltd. 504220 661  Newton Road - RH109TS Crawley West Sussex
",2083
113811,0.002,4,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AerFin Ltd. 504220 661  Newton Road - RH109TS Crawley West Sussex
",520
109906,0.001,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AerFin Ltd. 504220 661  Newton Road - RH109TS Crawley West Sussex
",65
117429,0.0,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AERO-COATING GMBH SUP679421 669  GEWERBEGEBIET REDENTIN    DE - 23970 WISMAR
",0
116259,0.008,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Aerospares 2000 Ltd. 504163 661  3 Caxton Way - WD18 8UA Watford,Herts
",546
109230,0.008,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Aerospares 2000 Ltd. 504163 661  3 Caxton Way - WD18 8UA Watford,Herts
",546
118220,0.005,3,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Air Baltic Corporation A/S 504222 658  3 Tehnikas street,    LV - 1053 Latvia Riga Internat.
",1665
118211,0.005,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Air Baltic Corporation A/S 504222 658  3 Tehnikas street,    LV - 1053 Latvia Riga Internat.
",1110
114736,0.01,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Air Baltic Corporation A/S 504222 658  3 Tehnikas street,    LV - 1053 Latvia Riga Internat.
",2220
112214,0.001,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Air Baltic Corporation A/S 504222 658  3 Tehnikas street,    LV - 1053 Latvia Riga Internat.
",111
110816,0.0,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Air Baltic Corporation A/S 504222 658  3 Tehnikas street,    LV - 1053 Latvia Riga Internat.
",0
112212,0.005,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Air Baltic Corporation A/S 504222 668  3 Tehnikas street,    LV - 1053 Latvia Riga Internat.
",555
118228,0.001,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
",44
117421,0.0,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
",0
115649,0.002,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
",89
114744,0.0,3,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
",0
113690,0.0,3,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
",0
112013,0.0,3,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
",0
111381,0.0,4,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
",0
110814,0.0,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
",0
110691,0.0,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
",0
109120,0.0,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
",0
108292,0.0,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
",0
108284,0.0,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
",0
107744,0.0,4,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
",0
107248,0.0,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Air France 500102 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
",0
115651,0.0,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Air France 500137 668  Batiment 2 Zone de Fret 5    FR - 93290 Tremblay en France
",0
118230,0.001,4,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AIR FRANCE INDUSTRIES 500137 668  RUE DE LA BELLE BORNE    FR - 93290 TREMBLAY EN FRANCE
",176
118209,0.001,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AIR FRANCE INDUSTRIES 500137 668  RUE DE LA BELLE BORNE    FR - 93290 TREMBLAY EN FRANCE
",44
117445,0.008,4,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AIR FRANCE INDUSTRIES 500137 668  RUE DE LA BELLE BORNE    FR - 93290 TREMBLAY EN FRANCE
",1424
117440,0.008,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AIR FRANCE INDUSTRIES 500137 668  RUE DE LA BELLE BORNE    FR - 93290 TREMBLAY EN FRANCE
",712
116212,0.008,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AIR FRANCE INDUSTRIES 500137 668  RUE DE LA BELLE BORNE    FR - 93290 TREMBLAY EN FRANCE
",356
115653,0.004,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AIR FRANCE INDUSTRIES 500137 668  RUE DE LA BELLE BORNE    FR - 93290 TREMBLAY EN FRANCE
",356
114741,0.0,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AIR FRANCE INDUSTRIES 500137 668  RUE DE LA BELLE BORNE    FR - 93290 TREMBLAY EN FRANCE
",0
113698,0.002,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AIR FRANCE INDUSTRIES 500137 668  RUE DE LA BELLE BORNE    FR - 93290 TREMBLAY EN FRANCE
",178
112917,0.008,4,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AIR FRANCE INDUSTRIES 500137 668  RUE DE LA BELLE BORNE    FR - 93290 TREMBLAY EN FRANCE
",1424
112186,0.002,3,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AIR FRANCE INDUSTRIES 500137 668  RUE DE LA BELLE BORNE    FR - 93290 TREMBLAY EN FRANCE
",267
111366,0.028,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AIR FRANCE INDUSTRIES 500137 668  RUE DE LA BELLE BORNE    FR - 93290 TREMBLAY EN FRANCE
",2492
110689,0.0,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AIR FRANCE INDUSTRIES 500137 668  RUE DE LA BELLE BORNE    FR - 93290 TREMBLAY EN FRANCE
",0
109811,0.016,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AIR FRANCE INDUSTRIES 500137 668  RUE DE LA BELLE BORNE    FR - 93290 TREMBLAY EN FRANCE
",1424
109125,0.008,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AIR FRANCE INDUSTRIES 500137 668  RUE DE LA BELLE BORNE    FR - 93290 TREMBLAY EN FRANCE
",712
108289,0.008,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AIR FRANCE INDUSTRIES 500137 668  RUE DE LA BELLE BORNE    FR - 93290 TREMBLAY EN FRANCE
",712
107872,0.001,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AIR FRANCE INDUSTRIES 500137 668  RUE DE LA BELLE BORNE    FR - 93290 TREMBLAY EN FRANCE
",44
107736,0.008,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AIR FRANCE INDUSTRIES 500137 668  RUE DE LA BELLE BORNE    FR - 93290 TREMBLAY EN FRANCE
",356
107320,0.008,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AIR FRANCE INDUSTRIES 500137 668  RUE DE LA BELLE BORNE    FR - 93290 TREMBLAY EN FRANCE
",712
109184,0.017,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AIRBUS - POLE LOGISTIQUE 500219 226  155, Route de Colomiers    FR - 31700 CORNEBARRIEU
",2134
118224,0.0,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AIRBUS - POLE LOGISTIQUE 500219 658  155, Route de Colomiers    FR - 31700 CORNEBARRIEU
",0
118084,0.001,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence & Space - Integrated 501093 210  Carretera de la Esclusa, 15    ES - 41011 Sevilla   SPAIN  RP
",136
112910,0.001,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence & Space - Integrated 501093 210  Carretera de la Esclusa, 15    ES - 41011 Sevilla   SPAIN  RP
",136
114206,0.013,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence & Space - Integrated 501093 210  Carretera de la Esclusa, 15    ES - 41011 Sevilla   SPAIN  SP
",1767
117383,0.009,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence & Space - Integrated 501093 213  Carretera de la Esclusa, 15    ES - 41011 Sevilla   SPAIN  RP
",1223
114216,0.005,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence & Space - Integrated 501093 213  Carretera de la Esclusa, 15    ES - 41011 Sevilla   SPAIN  RP
",679
114220,0.0,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence & Space - Integrated 501093 213  Carretera de la Esclusa, 15    ES - 41011 Sevilla   SPAIN  SP
",0
112906,0.002,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence & Space - Integrated 501093 213  Carretera de la Esclusa, 15    ES - 41011 Sevilla   SPAIN  SP
",272
107728,0.001,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence & Space - Integrated 501093 213  Carretera de la Esclusa, 15    ES - 41011 Sevilla   SPAIN  SP
",136
107709,0.106,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence & Space - Integrated 501093 213  Carretera de la Esclusa, 15    ES - 41011 Sevilla   SPAIN  SP
",14404
118185,0.001,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence & Space - Integrated 501093 658  Carretera de la Esclusa, 15    ES - 41011 Sevilla   SPAIN  RP
",136
110809,0.005,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence & Space - Integrated 501093 658  Carretera de la Esclusa, 15    ES - 41011 Sevilla   SPAIN  RP
",679
